13	23	0	65
10	26	0	59
35	47	1	67
44	20	1	78
28	47	1	102
9	20	0	31
34	25	1	105
37	57	1	67
41	26	1	71
8	28	0	61
41	40	1	104
27	52	1	69
38	20	1	104
37	50	1	106
6	20	0	31
9	42	0	61
10	20	0	61
30	46	1	66
37	47	1	77
6	20	0	15
39	56	1	74
35	40	1	69
37	45	1	72
2	34	0	15
12	20	0	51
12	20	0	22
36	46	1	111
32	36	1	69
37	50	1	109
33	46	1	73
5	24	0	62
46	41	1	100
10	35	0	57
40	45	1	102
44	41	1	80
1	23	0	15
35	53	1	68
6	45	1	80
7	20	0	69
11	25	0	71
37	40	1	67
47	27	1	68
2	20	0	59
33	37	1	105
9	45	1	107
13	20	0	65
40	36	1	65
9	20	0	72
39	41	1	74
35	44	1	70
37	35	1	112
7	20	0	50
9	20	0	74
35	48	1	60
32	47	1	68
39	24	1	95
5	24	0	63
29	40	1	64
8	20	0	52
45	42	1	111
37	45	1	70
37	47	1	70
12	20	0	70
43	47	1	106
29	24	1	101
34	50	1	78
10	20	0	65
9	20	0	79
36	22	1	71
42	48	1	104
36	51	1	78
41	48	1	101
7	20	0	67
34	59	1	67
35	37	1	96
7	31	0	65
5	29	0	60
29	40	1	97
27	46	1	79
33	51	1	66
12	20	0	70
35	40	1	110
11	21	0	59
43	41	1	77
12	25	0	66
8	20	0	72
10	22	0	65
42	48	1	112
25	40	1	63
38	49	1	53
36	43	1	67
35	51	1	64
37	53	1	75
35	44	1	109
10	26	0	15
32	47	1	61
38	58	1	76
34	44	1	100
38	25	1	63
40	26	1	68
38	52	1	100
6	20	0	23
48	49	1	104
34	44	1	67
40	57	1	109
6	20	0	20
34	45	1	71
44	50	1	107
40	46	1	70
5	31	0	68
9	21	0	61
31	48	1	70
6	24	0	15
30	27	1	67
41	47	1	75
41	36	1	106
8	24	0	67
9	20	0	69
44	42	1	63
40	20	1	109
33	43	1	63
42	51	1	109
41	33	1	66
43	48	1	107
5	20	0	70
40	54	1	76
39	44	1	109
45	37	1	96
25	36	1	75
3	40	0	73
35	54	1	78
43	50	1	78
10	20	0	62
8	28	0	58
6	31	0	65
8	36	0	70
43	57	1	103
1	24	0	71
8	22	0	65
34	24	1	69
5	38	0	34
11	20	0	76
39	49	1	93
33	53	1	108
36	45	1	76
12	30	0	65
38	60	1	103
36	50	1	56
36	47	1	80
9	20	0	55
46	20	1	71
35	57	1	99
32	49	1	104
10	43	1	61
5	26	0	24
7	20	0	53
11	24	0	15
47	36	1	62
50	47	1	67
28	28	1	63
47	48	1	61
39	30	1	80
41	51	1	61
44	49	1	110
32	53	1	74
10	34	0	70
38	52	1	75
5	44	0	60
42	43	1	76
14	20	0	55
40	57	1	64
5	20	0	57
36	56	1	74
31	46	1	58
36	41	1	62
34	39	1	104
11	20	0	62
30	55	1	104
5	20	0	69
11	29	0	52
13	20	0	76
31	58	1	108
42	48	1	58
8	23	0	61
29	42	1	104
16	32	0	84
34	35	1	76
37	48	1	112
37	52	1	112
9	20	0	25
8	23	0	60
9	20	0	76
37	37	1	76
1	31	0	63
43	57	1	65
35	42	1	100
45	47	1	70
36	46	1	78
10	20	0	70
12	22	0	17
34	43	1	71
49	48	1	74
42	25	1	103
30	55	1	66
38	52	1	73
40	46	1	101
8	20	0	62
37	49	1	70
38	43	1	70
33	43	1	112
35	40	1	68
12	20	0	21
4	27	0	58
42	43	1	94
44	43	1	112
2	20	0	22
35	45	1	56
9	59	0	57
45	37	1	111
45	47	1	63
1	22	0	59
37	47	1	70
30	55	1	66
35	49	1	104
38	43	1	101
34	44	1	69
5	20	0	65
11	20	0	79
36	51	1	105
41	31	1	65
38	56	1	105
42	46	1	96
35	48	1	112
37	20	1	77
35	40	1	100
28	50	1	71
40	45	1	76
34	47	1	63
14	21	0	62
6	20	0	27
37	52	1	99
5	20	0	61
35	50	1	64
10	22	0	30
36	53	1	106
1	21	0	68
10	20	0	15
34	39	1	74
35	26	1	66
36	45	1	94
36	20	1	61
42	49	1	72
41	27	1	109
13	23	0	18
29	48	1	105
9	20	0	55
42	58	1	62
30	41	1	74
41	55	1	76
38	37	1	77
33	45	1	73
9	20	0	62
1	25	1	63
32	54	1	112
35	48	1	92
1	20	1	70
7	34	0	66
36	43	1	73
7	20	0	61
16	20	0	53
10	24	0	69
6	26	0	66
33	47	1	82
38	40	1	101
39	44	1	70
34	26	1	101
38	26	1	29
6	20	0	58
5	20	0	53
3	20	0	15
5	20	0	56
32	32	1	79
10	20	0	23
46	52	1	112
34	53	1	67
8	20	0	35
10	22	0	23
4	41	0	70
2	28	0	61
34	20	1	112
42	43	1	70
2	26	0	54
3	20	0	56
3	21	0	57
8	25	0	15
25	29	1	63
49	49	1	68
36	29	1	68
33	48	1	112
45	41	1	77
12	20	0	66
34	47	1	105
31	48	1	72
3	20	0	64
6	23	0	28
42	41	1	97
40	43	1	71
31	45	1	112
39	52	1	78
36	37	1	67
7	21	0	22
44	51	1	62
9	25	0	15
34	40	1	108
39	32	1	83
32	52	1	55
37	43	1	82
40	39	1	67
8	30	0	68
31	55	1	112
6	20	0	58
36	58	1	106
8	30	0	15
39	29	1	59
35	37	1	72
7	28	0	70
39	48	1	105
7	39	0	55
38	51	1	67
40	31	1	66
42	55	1	67
45	47	1	64
33	22	1	99
40	46	1	102
30	51	1	74
45	39	1	87
24	23	1	98
37	47	1	101
37	36	1	65
16	22	0	56
38	40	1	112
43	56	1	99
33	47	1	71
8	20	0	55
40	53	1	72
37	42	1	106
41	45	1	106
33	38	1	69
4	20	0	26
36	46	1	61
39	46	1	77
34	46	1	112
34	49	1	67
1	20	0	58
43	34	1	111
12	24	0	54
37	44	1	81
3	23	0	75
10	20	0	63
4	20	1	62
9	33	0	15
42	24	1	75
12	20	0	63
34	44	1	87
9	22	0	31
35	25	1	64
40	47	1	102
35	38	1	104
41	48	1	80
45	47	1	66
27	46	1	53
47	52	1	88
38	42	1	78
38	43	1	107
33	54	1	65
30	51	1	64
13	23	0	61
4	20	0	30
30	21	1	73
34	33	1	63
